TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Residential/Other,2016,11,29,8,0,57XX LANCASTER ST,killarney,496957.17,5453189.15
Theft of Vehicle,2016,2,29,10,30,10XX SALSBURY DR,grandviewwoodland,495080.66,5458100.18
Break and Enter Commercial,2016,5,13,3,0,3XX COLUMBIA ST,downtown,492558.76,5458776.01
Break and Enter Commercial,2016,11,12,1,27,3XX E 13TH AVE,mountpleasant,492931.83,5456277.54
Mischief,2016,6,17,15,0,11XX GRANVILLE ST,downtown,490853.68,5458300.2
Break and Enter Residential/Other,2016,9,14,14,30,15XX E 13TH AVE,kensingtoncedarcottage,494714.14,5456212.14
Break and Enter Commercial,2016,3,13,17,0,3XX CARRALL ST,downtown,492420.52,5458837.04
Theft from Vehicle,2016,6,16,0,0,12XX FRANCES ST,strathcona,494245.85,5458524.66
Break and Enter Commercial,2016,10,22,18,0,3XX CARRALL ST,downtown,492418.29,5458784.4
Theft from Vehicle,2016,8,5,12,0,12XX FRANCES ST,strathcona,494264.9,5458533.45
Break and Enter Residential/Other,2016,9,9,22,45,57XX LANCASTER ST,killarney,496957.28,5453200.23
Break and Enter Residential/Other,2016,4,27,12,21,57XX MAIN ST,sunset,492617.28,5453272.09
Break and Enter Residential/Other,2016,9,1,12,45,33XX E 44TH AVE,killarney,497597.92,5453025.4
Theft from Vehicle,2016,6,12,9,0,JOHNSTON ST / OLD BRIDGE ST,fairview,490260.1,5457595.72
Break and Enter Residential/Other,2016,2,11,17,0,57XX MARGUERITE ST,kerrisdale,489457.53,5453431.57
Break and Enter Residential/Other,2016,1,27,12,0,57XX MARGUERITE ST,kerrisdale,489459.43,5453509.05
Theft from Vehicle,2016,6,10,0,0,12XX FRANCES ST,strathcona,494324.23,5458532.35
Break and Enter Residential/Other,2016,2,20,23,4,33XX E 46TH AVE,killarney,497626.61,5452844.01
Break and Enter Residential/Other,2016,6,19,16,10,33XX E 49TH AVE,killarney,497619.82,5452434.32
Theft from Vehicle,2016,6,14,18,30,7XX E 11TH AVE,mountpleasant,493548.18,5456436.22
Theft from Vehicle,2016,9,12,16,45,W 42ND AVE / YEW ST,kerrisdale,488458.8,5453443.05
Theft from Vehicle,2016,6,17,17,0,7XX E 11TH AVE,mountpleasant,493545.54,5456436.26
Theft from Vehicle,2016,5,20,0,0,12XX FRANKLIN ST,strathcona,494340.09,5458833.47
Theft from Vehicle,2016,8,3,22,30,ALMA ST / W 8TH AVE,kitsilano,486480.35,5456959.31
Theft from Vehicle,2016,7,29,0,0,12XX FRANKLIN ST,strathcona,494340.09,5458833.47
Break and Enter Residential/Other,2016,3,19,7,36,33XX E 54TH AVE,killarney,497405.14,5451924.05
Break and Enter Commercial,2016,5,14,20,0,3XX CAMBIE ST,downtown,492055.04,5458975.72
Break and Enter Commercial,2016,4,10,18,0,3XX CAMBIE ST,downtown,492055.04,5458975.72
Theft from Vehicle,2016,11,10,8,51,1XX W 2ND AVE,mountpleasant,492236.89,5457391.82
Break and Enter Residential/Other,2016,7,11,5,34,33XX E 54TH AVE,killarney,497405.14,5451924.05
Vehicle Collision or Pedestrian Struck (with Injury),2016,8,21,10,47,32XX BLOCK E 1ST AVE,hastingssunrise,497381,5457400
Break and Enter Commercial,2016,8,30,3,45,3XX CAMBIE ST,downtown,492052.13,5458934.96
Theft from Vehicle,2016,8,19,9,0,COLUMBIA ST / KEEFER ST,downtown,492569.99,5458508.48
Break and Enter Commercial,2016,6,13,4,16,3XX CAMBIE ST,downtown,492051.36,5458963.69
Break and Enter Commercial,2016,5,25,18,15,3XX CAMBIE ST,downtown,492050.75,5458961.69
Theft from Vehicle,2016,1,9,22,0,E 14TH AVE / QUEBEC ST,mountpleasant,492491.94,5456189.51
Vehicle Collision or Pedestrian Struck (with Injury),2016,8,13,16,48,32XX BLOCK E 49TH AVE,killarney,497228,5452435
Break and Enter Commercial,2016,6,22,4,8,3XX BUTE ST,downtown,491115.55,5459614.44
Theft from Vehicle,2016,3,18,6,47,23XX E 38 AV,renfrewcollingwood,495837.26,5453674.54
